dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Death Change ,Case change,Measures
09/12/2020,9,12,2020,43,0,Andorra,AD,AND,76177,Europe,1018.680179,0.000564475,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,34,0,Andorra,AD,AND,76177,Europe,1023.931108,0.000446329,0,-9,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,45,0,Andorra,AD,AND,76177,Europe,1042.309358,0.000590729,0,11,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,50,1,Andorra,AD,AND,76177,Europe,1047.560287,0.000656366,1,5,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,51,0,Andorra,AD,AND,76177,Europe,1067.25127,0.000669493,-1,1,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,62,1,Andorra,AD,AND,76177,Europe,1100.069575,0.000813894,1,11,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,52,0,Andorra,AD,AND,76177,Europe,1081.691324,0.000682621,-1,-10,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,45,0,Andorra,AD,AND,76177,Europe,1101.382307,0.000590729,0,-7,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,33,0,Andorra,AD,AND,76177,Europe,1090.880449,0.000433202,0,-12,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,42,0,Andorra,AD,AND,76177,Europe,1102.695039,0.000551348,0,9,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,60,0,Andorra,AD,AND,76177,Europe,1240.531919,0.000787639,0,18,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,76,0,Andorra,AD,AND,76177,Europe,1161.767988,0.000997676,0,16,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,106,0,Andorra,AD,AND,76177,Europe,1205.08815,0.001391496,0,30,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,77,0,Andorra,AD,AND,76177,Europe,1130.262415,0.001010804,0,-29,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,47,0,Andorra,AD,AND,76177,Europe,1147.327934,0.000616984,0,-30,Social Distancing and Wearing Masks Enforced
24/11/2020,24,11,2020,48,0,Andorra,AD,AND,76177,Europe,1138.138808,0.000630111,0,1,Social Distancing and Wearing Masks Enforced
23/11/2020,23,11,2020,49,0,Andorra,AD,AND,76177,Europe,1146.015201,0.000643239,0,1,Social Distancing and Wearing Masks Enforced
22/11/2020,22,11,2020,65,0,Andorra,AD,AND,76177,Europe,1165.706184,0.000853276,0,16,Social Distancing and Wearing Masks Enforced
21/11/2020,21,11,2020,76,0,Andorra,AD,AND,76177,Europe,1321.921315,0.000997676,0,11,Social Distancing and Wearing Masks Enforced
20/11/2020,20,11,2020,48,0,Andorra,AD,AND,76177,Europe,1222.153668,0.000630111,0,-28,Social Distancing and Wearing Masks Enforced
19/11/2020,19,11,2020,67,0,Andorra,AD,AND,76177,Europe,1277.28842,0.000879531,0,19,Social Distancing and Wearing Masks Enforced
18/11/2020,18,11,2020,37,0,Andorra,AD,AND,76177,Europe,1366.554209,0.000485711,0,-30,Social Distancing and Wearing Masks Enforced
17/11/2020,17,11,2020,42,0,Andorra,AD,AND,76177,Europe,1346.863226,0.000551348,0,5,Social Distancing and Wearing Masks Enforced
16/11/2020,16,11,2020,147,1,Andorra,AD,AND,76177,Europe,1374.430602,0.001929716,1,105,Social Distancing and Wearing Masks Enforced
15/11/2020,15,11,2020,0,0,Andorra,AD,AND,76177,Europe,1272.037492,0,-1,-147,Social Distancing and Wearing Masks Enforced
14/11/2020,14,11,2020,109,0,Andorra,AD,AND,76177,Europe,1391.496121,0.001430878,0,109,Social Distancing and Wearing Masks Enforced
13/11/2020,13,11,2020,49,0,Andorra,AD,AND,76177,Europe,1377.056067,0.000643239,0,-60,Social Distancing and Wearing Masks Enforced
12/11/2020,12,11,2020,90,0,Andorra,AD,AND,76177,Europe,1378.368799,0.001181459,0,41,Social Distancing and Wearing Masks Enforced
