dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Change in Case Number,Change in Death Number,Measures
09/12/2020,9,12,2020,3,10,Belgium,BE,BEL,11455519,Europe,251.6079804,2.61883E-07,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,1530,73,Belgium,BE,BEL,11455519,Europe,272.7593573,0.00013356,1527,63,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,577,77,Belgium,BE,BEL,11455519,Europe,272.8641103,5.03687E-05,-953,4,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,1084,81,Belgium,BE,BEL,11455519,Europe,274.4266759,9.46269E-05,507,4,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,2516,100,Belgium,BE,BEL,11455519,Europe,279.3587964,0.000219632,1432,19,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,2353,92,Belgium,BE,BEL,11455519,Europe,285.172588,0.000205403,-163,-8,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,2602,117,Belgium,BE,BEL,11455519,Europe,294.7574876,0.000227139,249,25,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,2672,108,Belgium,BE,BEL,11455519,Europe,313.5781103,0.00023325,70,-9,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,3291,98,Belgium,BE,BEL,11455519,Europe,335.6635348,0.000287285,619,-10,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,560,118,Belgium,BE,BEL,11455519,Europe,340.0020549,4.88847E-05,-2731,20,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,1004,114,Belgium,BE,BEL,11455519,Europe,351.9351677,8.76433E-05,444,-4,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,2696,124,Belgium,BE,BEL,11455519,Europe,378.2369005,0.000235345,1692,10,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,2404,118,Belgium,BE,BEL,11455519,Europe,413.8354622,0.000209855,-292,-6,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,2670,137,Belgium,BE,BEL,11455519,Europe,408.0216706,0.000233075,266,19,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,2864,119,Belgium,BE,BEL,11455519,Europe,450.2458597,0.00025001,194,-18,Social Distancing and Wearing Masks Enforced
24/11/2020,24,11,2020,3953,139,Belgium,BE,BEL,11455519,Europe,491.1257185,0.000345074,1089,20,Social Distancing and Wearing Masks Enforced
23/11/2020,23,11,2020,589,135,Belgium,BE,BEL,11455519,Europe,498.6242876,5.14163E-05,-3364,-4,Social Distancing and Wearing Masks Enforced
22/11/2020,22,11,2020,1263,137,Belgium,BE,BEL,11455519,Europe,514.1888377,0.000110253,674,2,Social Distancing and Wearing Masks Enforced
21/11/2020,21,11,2020,3081,165,Belgium,BE,BEL,11455519,Europe,545.3266674,0.000268953,1818,28,Social Distancing and Wearing Masks Enforced
20/11/2020,20,11,2020,3019,172,Belgium,BE,BEL,11455519,Europe,585.8311614,0.000263541,-62,7,Social Distancing and Wearing Masks Enforced
19/11/2020,19,11,2020,3700,158,Belgium,BE,BEL,11455519,Europe,634.1048363,0.000322988,681,-14,Social Distancing and Wearing Masks Enforced
18/11/2020,18,11,2020,4828,153,Belgium,BE,BEL,11455519,Europe,697.6026141,0.000421456,1128,-5,Social Distancing and Wearing Masks Enforced
17/11/2020,17,11,2020,5821,195,Belgium,BE,BEL,11455519,Europe,767.7609369,0.000508139,993,42,Social Distancing and Wearing Masks Enforced
16/11/2020,16,11,2020,1057,192,Belgium,BE,BEL,11455519,Europe,781.8065685,9.22699E-05,-4764,-3,Social Distancing and Wearing Masks Enforced
15/11/2020,15,11,2020,2371,175,Belgium,BE,BEL,11455519,Europe,816.1742825,0.000206974,1314,-17,Social Distancing and Wearing Masks Enforced
14/11/2020,14,11,2020,5709,183,Belgium,BE,BEL,11455519,Europe,900.7797901,0.000498362,3338,8,Social Distancing and Wearing Masks Enforced
13/11/2020,13,11,2020,6482,173,Belgium,BE,BEL,11455519,Europe,975.9226099,0.000565841,773,-10,Social Distancing and Wearing Masks Enforced
12/11/2020,12,11,2020,2004,196,Belgium,BE,BEL,11455519,Europe,1115.540902,0.000174938,-4478,23,Social Distancing and Wearing Masks Enforced
11/11/2020,11,11,2020,7701,217,Belgium,BE,BEL,11455519,Europe,1242.196011,0.000672252,5697,21,Social Distancing and Wearing Masks Enforced
10/11/2020,10,11,2020,8636,194,Belgium,BE,BEL,11455519,Europe,1340.24482,0.000753872,935,-23,Social Distancing and Wearing Masks Enforced
09/11/2020,9,11,2020,1448,210,Belgium,BE,BEL,11455519,Europe,1370.33512,0.000126402,-7188,16,Social Distancing and Wearing Masks Enforced
08/11/2020,8,11,2020,3046,208,Belgium,BE,BEL,11455519,Europe,1444.631186,0.000265898,1598,-2,Social Distancing and Wearing Masks Enforced
07/11/2020,7,11,2020,6648,214,Belgium,BE,BEL,11455519,Europe,1551.374495,0.000580332,3602,6,Social Distancing and Wearing Masks Enforced
06/11/2020,6,11,2020,7659,206,Belgium,BE,BEL,11455519,Europe,1638.913086,0.000668586,1011,-8,Social Distancing and Wearing Masks Enforced
05/11/2020,5,11,2020,9230,198,Belgium,BE,BEL,11455519,Europe,1710.974422,0.000805725,1571,-8,Social Distancing and Wearing Masks Enforced
04/11/2020,4,11,2020,12102,173,Belgium,BE,BEL,11455519,Europe,1773.503235,0.001056434,2872,-25,Social Distancing and Wearing Masks Enforced
03/11/2020,3,11,2020,13858,208,Belgium,BE,BEL,11455519,Europe,1788.360702,0.001209723,1756,35,Social Distancing and Wearing Masks Enforced
02/11/2020,2,11,2020,2666,164,Belgium,BE,BEL,11455519,Europe,1802.528545,0.000232726,-11192,-44,Social Distancing and Wearing Masks Enforced
01/11/2020,1,11,2020,6308,177,Belgium,BE,BEL,11455519,Europe,1817.255072,0.000550652,3642,13,Social Distancing and Wearing Masks Enforced
31/10/2020,31,10,2020,15401,185,Belgium,BE,BEL,11455519,Europe,1800.459674,0.001344417,9093,8,Social Distancing and Wearing Masks Enforced
30/10/2020,30,10,2020,15090,139,Belgium,BE,BEL,11455519,Europe,1771.897022,0.001317269,-311,-46,Social Distancing and Wearing Masks Enforced
29/10/2020,29,10,2020,17998,142,Belgium,BE,BEL,11455519,Europe,1722.095699,0.00157112,2908,3,Social Distancing and Wearing Masks Enforced
28/10/2020,28,10,2020,22210,132,Belgium,BE,BEL,11455519,Europe,1638.005227,0.001938803,4212,-10,Social Distancing and Wearing Masks Enforced
27/10/2020,27,10,2020,19868,121,Belgium,BE,BEL,11455519,Europe,1549.550047,0.001734361,-2342,-11,Social Distancing and Wearing Masks Enforced
26/10/2020,26,10,2020,4895,94,Belgium,BE,BEL,11455519,Europe,1527.79634,0.000427305,-14973,-27,Social Distancing and Wearing Masks Enforced
25/10/2020,25,10,2020,11557,93,Belgium,BE,BEL,11455519,Europe,1464.534256,0.001008859,6662,-1,Social Distancing and Wearing Masks Enforced
24/10/2020,24,10,2020,18876,94,Belgium,BE,BEL,11455519,Europe,1367.751212,0.001647765,7319,1,Social Distancing and Wearing Masks Enforced
23/10/2020,23,10,2020,17687,55,Belgium,BE,BEL,11455519,Europe,1270.863415,0.001543972,-1189,-39,Social Distancing and Wearing Masks Enforced
22/10/2020,22,10,2020,17485,62,Belgium,BE,BEL,11455519,Europe,1177.615785,0.001526339,-202,7,Social Distancing and Wearing Masks Enforced
21/10/2020,21,10,2020,19265,52,Belgium,BE,BEL,11455519,Europe,1059.087764,0.001681722,1780,-10,Social Distancing and Wearing Masks Enforced
20/10/2020,20,10,2020,15560,52,Belgium,BE,BEL,11455519,Europe,969.0787471,0.001358297,-3705,0,Social Distancing and Wearing Masks Enforced
19/10/2020,19,10,2020,4289,31,Belgium,BE,BEL,11455519,Europe,940.6732248,0.000374405,-11271,-21,Social Distancing and Wearing Masks Enforced
18/10/2020,18,10,2020,7995,23,Belgium,BE,BEL,11455519,Europe,885.8001109,0.000697917,3706,-8,Social Distancing and Wearing Masks Enforced
17/10/2020,17,10,2020,13477,36,Belgium,BE,BEL,11455519,Europe,800.6359206,0.001176464,5482,13,Social Distancing and Wearing Masks Enforced
16/10/2020,16,10,2020,11818,35,Belgium,BE,BEL,11455519,Europe,727.2389841,0.001031642,-1659,-1,Social Distancing and Wearing Masks Enforced
15/10/2020,15,10,2020,12293,41,Belgium,BE,BEL,11455519,Europe,648.2377621,0.001073107,475,6,Social Distancing and Wearing Masks Enforced
14/10/2020,14,10,2020,12577,34,Belgium,BE,BEL,11455519,Europe,564.4964667,0.001097899,284,-7,Social Distancing and Wearing Masks Enforced
13/10/2020,13,10,2020,9735,36,Belgium,BE,BEL,11455519,Europe,503.8008317,0.000849809,-2842,2,Social Distancing and Wearing Masks Enforced
12/10/2020,12,10,2020,2403,26,Belgium,BE,BEL,11455519,Europe,487.5379282,0.000209768,-7332,-10,Social Distancing and Wearing Masks Enforced
11/10/2020,11,10,2020,4310,22,Belgium,BE,BEL,11455519,Europe,458.1547113,0.000376238,1907,-4,Social Distancing and Wearing Masks Enforced
10/10/2020,10,10,2020,7789,19,Belgium,BE,BEL,11455519,Europe,404.3291273,0.000679934,3479,-3,Social Distancing and Wearing Masks Enforced
09/10/2020,9,10,2020,6588,20,Belgium,BE,BEL,11455519,Europe,362.497762,0.000575094,-1201,1,Social Distancing and Wearing Masks Enforced
08/10/2020,8,10,2020,6803,20,Belgium,BE,BEL,11455519,Europe,321.4171265,0.000593862,215,0,Social Distancing and Wearing Masks Enforced
07/10/2020,7,10,2020,5687,18,Belgium,BE,BEL,11455519,Europe,289.8777436,0.000496442,-1116,-2,Social Distancing and Wearing Masks Enforced
06/10/2020,6,10,2020,5249,14,Belgium,BE,BEL,11455519,Europe,263.2966695,0.000458207,-438,-4,Social Distancing and Wearing Masks Enforced
05/10/2020,5,10,2020,1035,14,Belgium,BE,BEL,11455519,Europe,258.2859843,9.03495E-05,-4214,0,Social Distancing and Wearing Masks Enforced
04/10/2020,4,10,2020,1709,15,Belgium,BE,BEL,11455519,Europe,251.1715096,0.000149186,674,1,Social Distancing and Wearing Masks Enforced
03/10/2020,3,10,2020,3721,11,Belgium,BE,BEL,11455519,Europe,233.607923,0.000324822,2012,-4,Social Distancing and Wearing Masks Enforced
02/10/2020,2,10,2020,3410,15,Belgium,BE,BEL,11455519,Europe,219.1345499,0.000297673,-311,4,Social Distancing and Wearing Masks Enforced
01/10/2020,1,10,2020,3243,6,Belgium,BE,BEL,11455519,Europe,207.7775787,0.000283095,-167,-9,Social Distancing and Wearing Masks Enforced
30/09/2020,30,9,2020,2984,10,Belgium,BE,BEL,11455519,Europe,195.9404895,0.000260486,-259,4,Social Distancing and Wearing Masks Enforced
29/09/2020,29,9,2020,2782,13,Belgium,BE,BEL,11455519,Europe,186.7309548,0.000242852,-202,3,Social Distancing and Wearing Masks Enforced
28/09/2020,28,9,2020,540,12,Belgium,BE,BEL,11455519,Europe,184.6446241,4.71389E-05,-2242,-1,Social Distancing and Wearing Masks Enforced
27/09/2020,27,9,2020,944,6,Belgium,BE,BEL,11455519,Europe,181.7901048,8.24057E-05,404,-6,Social Distancing and Wearing Masks Enforced
26/09/2020,26,9,2020,1623,5,Belgium,BE,BEL,11455519,Europe,178.8308325,0.000141678,679,-1,Social Distancing and Wearing Masks Enforced
25/09/2020,25,9,2020,1796,4,Belgium,BE,BEL,11455519,Europe,173.1305234,0.00015678,173,-1,Social Distancing and Wearing Masks Enforced
24/09/2020,24,9,2020,2097,8,Belgium,BE,BEL,11455519,Europe,163.7638592,0.000183056,301,4,Social Distancing and Wearing Masks Enforced
23/09/2020,23,9,2020,2074,1,Belgium,BE,BEL,11455519,Europe,153.2623707,0.000181048,-23,-7,Social Distancing and Wearing Masks Enforced
22/09/2020,22,9,2020,2204,3,Belgium,BE,BEL,11455519,Europe,142.0363407,0.000192396,130,2,Social Distancing and Wearing Masks Enforced
21/09/2020,21,9,2020,461,3,Belgium,BE,BEL,11455519,Europe,139.3651392,4.02426E-05,-1743,0,Social Distancing and Wearing Masks Enforced
20/09/2020,20,9,2020,894,8,Belgium,BE,BEL,11455519,Europe,134.3719128,7.8041E-05,433,5,Social Distancing and Wearing Masks Enforced
19/09/2020,19,9,2020,1709,6,Belgium,BE,BEL,11455519,Europe,125.8083549,0.000149186,815,-2,Social Distancing and Wearing Masks Enforced
18/09/2020,18,9,2020,1752,1,Belgium,BE,BEL,11455519,Europe,116.4242319,0.000152939,43,-5,Social Distancing and Wearing Masks Enforced
17/09/2020,17,9,2020,1942,2,Belgium,BE,BEL,11455519,Europe,104.4823897,0.000169525,190,1,Social Distancing and Wearing Masks Enforced
16/09/2020,16,9,2020,1628,3,Belgium,BE,BEL,11455519,Europe,95.20301961,0.000142115,-314,1,Social Distancing and Wearing Masks Enforced
15/09/2020,15,9,2020,1727,4,Belgium,BE,BEL,11455519,Europe,85.66176705,0.000150757,99,1,Social Distancing and Wearing Masks Enforced
14/09/2020,14,9,2020,301,1,Belgium,BE,BEL,11455519,Europe,84.05555436,2.62755E-05,-1426,-3,Social Distancing and Wearing Masks Enforced
13/09/2020,13,9,2020,617,1,Belgium,BE,BEL,11455519,Europe,80.37174047,5.38605E-05,316,0,Social Distancing and Wearing Masks Enforced
12/09/2020,12,9,2020,1284,5,Belgium,BE,BEL,11455519,Europe,74.52303121,0.000112086,667,4,Social Distancing and Wearing Masks Enforced
11/09/2020,11,9,2020,1143,3,Belgium,BE,BEL,11455519,Europe,69.2155458,9.97772E-05,-141,-2,Social Distancing and Wearing Masks Enforced
10/09/2020,10,9,2020,1024,2,Belgium,BE,BEL,11455519,Europe,64.86829623,8.93892E-05,-119,-1,Social Distancing and Wearing Masks Enforced
