dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Change case,Change Death,Measures
09/12/2020,9,12,2020,15,0,China,CN,CHN,1433783692,Asia,0.01304241,1.04618E-08,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,12,0,China,CN,CHN,1433783692,Asia,0.01234496,8.36946E-09,-3,0,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,15,0,China,CN,CHN,1433783692,Asia,0.01304241,1.04618E-08,3,0,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,18,0,China,CN,CHN,1433783692,Asia,0.01276343,1.25542E-08,3,0,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,17,0,China,CN,CHN,1433783692,Asia,0.01262394,1.18567E-08,-1,0,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,17,0,China,CN,CHN,1433783692,Asia,0.01255419,1.18567E-08,0,0,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,16,0,China,CN,CHN,1433783692,Asia,0.01255419,1.11593E-08,-1,0,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,9,0,China,CN,CHN,1433783692,Asia,0.01227521,6.2771E-09,-7,0,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,12,0,China,CN,CHN,1433783692,Asia,0.01220547,8.36946E-09,3,0,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,18,0,China,CN,CHN,1433783692,Asia,0.0124147,1.25542E-08,6,0,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,6,0,China,CN,CHN,1433783692,Asia,0.0116475,4.18473E-09,-12,0,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,6,0,China,CN,CHN,1433783692,Asia,0.01199623,4.18473E-09,0,0,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,5,0,China,CN,CHN,1433783692,Asia,0.01262394,3.48728E-09,-1,0,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,21,0,China,CN,CHN,1433783692,Asia,0.01227521,1.46466E-08,16,0,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,5,0,China,CN,CHN,1433783692,Asia,0.01150801,3.48728E-09,-16,0,Social Distancing and Wearing Masks Enforced
24/11/2020,24,11,2020,22,0,China,CN,CHN,1433783692,Asia,0.01206598,1.5344E-08,17,0,Social Distancing and Wearing Masks Enforced
23/11/2020,23,11,2020,11,0,China,CN,CHN,1433783692,Asia,0.01192649,7.67201E-09,-11,0,Social Distancing and Wearing Masks Enforced
22/11/2020,22,11,2020,16,0,China,CN,CHN,1433783692,Asia,0.01339114,1.11593E-08,5,0,Social Distancing and Wearing Masks Enforced
21/11/2020,21,11,2020,16,0,China,CN,CHN,1433783692,Asia,0.01394911,1.11593E-08,0,0,Social Distancing and Wearing Masks Enforced
20/11/2020,20,11,2020,17,0,China,CN,CHN,1433783692,Asia,0.01513478,1.18567E-08,1,0,Social Distancing and Wearing Masks Enforced
19/11/2020,19,11,2020,12,0,China,CN,CHN,1433783692,Asia,0.01618096,8.36946E-09,-5,0,Social Distancing and Wearing Masks Enforced
18/11/2020,18,11,2020,8,0,China,CN,CHN,1433783692,Asia,0.01722715,5.57964E-09,-4,0,Social Distancing and Wearing Masks Enforced
17/11/2020,17,11,2020,15,0,China,CN,CHN,1433783692,Asia,0.01778511,1.04618E-08,7,0,Social Distancing and Wearing Masks Enforced
16/11/2020,16,11,2020,7,0,China,CN,CHN,1433783692,Asia,0.02015646,4.88219E-09,-8,0,Social Distancing and Wearing Masks Enforced
15/11/2020,15,11,2020,11,0,China,CN,CHN,1433783692,Asia,0.02134213,7.67201E-09,4,0,Social Distancing and Wearing Masks Enforced
14/11/2020,14,11,2020,15,0,China,CN,CHN,1433783692,Asia,0.02224882,1.04618E-08,4,0,Social Distancing and Wearing Masks Enforced
13/11/2020,13,11,2020,0,0,China,CN,CHN,1433783692,Asia,0.02350424,0,-15,0,Social Distancing and Wearing Masks Enforced
12/11/2020,12,11,2020,10,0,China,CN,CHN,1433783692,Asia,0.02524788,6.97455E-09,10,0,Social Distancing and Wearing Masks Enforced
11/11/2020,11,11,2020,13,0,China,CN,CHN,1433783692,Asia,0.02622432,9.06692E-09,3,0,Social Distancing and Wearing Masks Enforced
10/11/2020,10,11,2020,20,0,China,CN,CHN,1433783692,Asia,0.02824694,1.39491E-08,7,0,Social Distancing and Wearing Masks Enforced
09/11/2020,9,11,2020,32,0,China,CN,CHN,1433783692,Asia,0.02852592,2.23186E-08,12,0,Social Distancing and Wearing Masks Enforced
08/11/2020,8,11,2020,24,0,China,CN,CHN,1433783692,Asia,0.02810745,1.67389E-08,-8,0,Social Distancing and Wearing Masks Enforced
07/11/2020,7,11,2020,33,0,China,CN,CHN,1433783692,Asia,0.02775872,2.3016E-08,9,0,Social Distancing and Wearing Masks Enforced
06/11/2020,6,11,2020,32,0,China,CN,CHN,1433783692,Asia,0.02775872,2.23186E-08,-1,0,Social Distancing and Wearing Masks Enforced
05/11/2020,5,11,2020,27,0,China,CN,CHN,1433783692,Asia,0.02754948,1.88313E-08,-5,0,Social Distancing and Wearing Masks Enforced
04/11/2020,4,11,2020,16,0,China,CN,CHN,1433783692,Asia,0.02720076,1.11593E-08,-11,0,Social Distancing and Wearing Masks Enforced
03/11/2020,3,11,2020,49,0,China,CN,CHN,1433783692,Asia,0.02720076,3.41753E-08,33,0,Social Distancing and Wearing Masks Enforced
02/11/2020,2,11,2020,24,0,China,CN,CHN,1433783692,Asia,0.02615457,1.67389E-08,-25,0,Social Distancing and Wearing Masks Enforced
01/11/2020,1,11,2020,24,0,China,CN,CHN,1433783692,Asia,0.02566635,1.67389E-08,0,0,Social Distancing and Wearing Masks Enforced
31/10/2020,31,10,2020,33,0,China,CN,CHN,1433783692,Asia,0.02608483,2.3016E-08,9,0,Social Distancing and Wearing Masks Enforced
30/10/2020,30,10,2020,25,0,China,CN,CHN,1433783692,Asia,0.02517814,1.74364E-08,-8,0,Social Distancing and Wearing Masks Enforced
29/10/2020,29,10,2020,24,0,China,CN,CHN,1433783692,Asia,0.02594534,1.67389E-08,-1,0,Social Distancing and Wearing Masks Enforced
28/10/2020,28,10,2020,42,0,China,CN,CHN,1433783692,Asia,0.02503864,2.92931E-08,18,0,Social Distancing and Wearing Masks Enforced
27/10/2020,27,10,2020,24,0,China,CN,CHN,1433783692,Asia,0.02406221,1.67389E-08,-18,0,Social Distancing and Wearing Masks Enforced
26/10/2020,26,10,2020,26,0,China,CN,CHN,1433783692,Asia,0.02364373,1.81338E-08,2,0,Social Distancing and Wearing Masks Enforced
25/10/2020,25,10,2020,19,0,China,CN,CHN,1433783692,Asia,0.0242017,1.32517E-08,-7,0,Social Distancing and Wearing Masks Enforced
24/10/2020,24,10,2020,33,0,China,CN,CHN,1433783692,Asia,0.02434119,2.3016E-08,14,0,Social Distancing and Wearing Masks Enforced
23/10/2020,23,10,2020,29,0,China,CN,CHN,1433783692,Asia,0.02406221,2.02262E-08,-4,0,Social Distancing and Wearing Masks Enforced
22/10/2020,22,10,2020,22,0,China,CN,CHN,1433783692,Asia,0.02475966,1.5344E-08,-7,0,Social Distancing and Wearing Masks Enforced
21/10/2020,21,10,2020,16,0,China,CN,CHN,1433783692,Asia,0.02475966,1.11593E-08,-6,0,Social Distancing and Wearing Masks Enforced
20/10/2020,20,10,2020,34,0,China,CN,CHN,1433783692,Asia,0.02468992,2.37135E-08,18,0,Social Distancing and Wearing Masks Enforced
19/10/2020,19,10,2020,17,0,China,CN,CHN,1433783692,Asia,0.02392272,1.18567E-08,-17,0,Social Distancing and Wearing Masks Enforced
18/10/2020,18,10,2020,30,0,China,CN,CHN,1433783692,Asia,0.02448068,2.09237E-08,13,0,Social Distancing and Wearing Masks Enforced
17/10/2020,17,10,2020,20,0,China,CN,CHN,1433783692,Asia,0.02378322,1.39491E-08,-10,0,Social Distancing and Wearing Masks Enforced
16/10/2020,16,10,2020,36,0,China,CN,CHN,1433783692,Asia,0.02357399,2.51084E-08,16,0,Social Distancing and Wearing Masks Enforced
15/10/2020,15,10,2020,11,0,China,CN,CHN,1433783692,Asia,0.02378322,7.67201E-09,-25,0,Social Distancing and Wearing Masks Enforced
14/10/2020,14,10,2020,28,0,China,CN,CHN,1433783692,Asia,0.02301602,1.95287E-08,17,0,Social Distancing and Wearing Masks Enforced
13/10/2020,13,10,2020,18,0,China,CN,CHN,1433783692,Asia,0.0226673,1.25542E-08,-10,0,Social Distancing and Wearing Masks Enforced
12/10/2020,12,10,2020,34,0,China,CN,CHN,1433783692,Asia,0.02294628,2.37135E-08,16,0,Social Distancing and Wearing Masks Enforced
11/10/2020,11,10,2020,21,0,China,CN,CHN,1433783692,Asia,0.02245806,1.46466E-08,-13,0,Social Distancing and Wearing Masks Enforced
10/10/2020,10,10,2020,29,0,China,CN,CHN,1433783692,Asia,0.02203959,2.02262E-08,8,0,Social Distancing and Wearing Masks Enforced
09/10/2020,9,10,2020,39,0,China,CN,CHN,1433783692,Asia,0.02120264,2.72008E-08,10,0,Social Distancing and Wearing Masks Enforced
08/10/2020,8,10,2020,22,0,China,CN,CHN,1433783692,Asia,0.01952875,1.5344E-08,-17,0,Social Distancing and Wearing Masks Enforced
07/10/2020,7,10,2020,15,0,China,CN,CHN,1433783692,Asia,0.0186918,1.04618E-08,-7,0,Social Distancing and Wearing Masks Enforced
06/10/2020,6,10,2020,23,0,China,CN,CHN,1433783692,Asia,0.01890104,1.60415E-08,8,0,Social Distancing and Wearing Masks Enforced
05/10/2020,5,10,2020,25,0,China,CN,CHN,1433783692,Asia,0.01813384,1.74364E-08,2,0,Social Distancing and Wearing Masks Enforced
04/10/2020,4,10,2020,20,0,China,CN,CHN,1433783692,Asia,0.01890104,1.39491E-08,-5,0,Social Distancing and Wearing Masks Enforced
03/10/2020,3,10,2020,17,0,China,CN,CHN,1433783692,Asia,0.01924977,1.18567E-08,-3,0,Social Distancing and Wearing Masks Enforced
02/10/2020,2,10,2020,39,0,China,CN,CHN,1433783692,Asia,0.01904053,2.72008E-08,22,0,Social Distancing and Wearing Masks Enforced
01/10/2020,1,10,2020,0,0,China,CN,CHN,1433783692,Asia,0.01938926,0,-39,0,Social Distancing and Wearing Masks Enforced
30/09/2020,30,9,2020,23,0,China,CN,CHN,1433783692,Asia,0.01987748,1.60415E-08,23,0,Social Distancing and Wearing Masks Enforced
29/09/2020,29,9,2020,22,0,China,CN,CHN,1433783692,Asia,0.01994722,1.5344E-08,-1,0,Social Distancing and Wearing Masks Enforced
28/09/2020,28,9,2020,27,0,China,CN,CHN,1433783692,Asia,0.01994722,1.88313E-08,5,0,Social Distancing and Wearing Masks Enforced
27/09/2020,27,9,2020,15,0,China,CN,CHN,1433783692,Asia,0.02008671,1.04618E-08,-12,0,Social Distancing and Wearing Masks Enforced
26/09/2020,26,9,2020,17,1,China,CN,CHN,1433783692,Asia,0.02064468,1.18567E-08,2,1,Social Distancing and Wearing Masks Enforced
25/09/2020,25,9,2020,15,0,China,CN,CHN,1433783692,Asia,0.02071442,1.04618E-08,-2,-1,Social Distancing and Wearing Masks Enforced
24/09/2020,24,9,2020,10,1,China,CN,CHN,1433783692,Asia,0.02155137,6.97455E-09,-5,1,Social Distancing and Wearing Masks Enforced
23/09/2020,23,9,2020,18,0,China,CN,CHN,1433783692,Asia,0.0217606,1.25542E-08,8,-1,Social Distancing and Wearing Masks Enforced
22/09/2020,22,9,2020,12,0,China,CN,CHN,1433783692,Asia,0.02106315,8.36946E-09,-6,0,Social Distancing and Wearing Masks Enforced
21/09/2020,21,9,2020,36,0,China,CN,CHN,1433783692,Asia,0.02169086,2.51084E-08,24,0,Social Distancing and Wearing Masks Enforced
20/09/2020,20,9,2020,25,0,China,CN,CHN,1433783692,Asia,0.02148162,1.74364E-08,-11,0,Social Distancing and Wearing Masks Enforced
19/09/2020,19,9,2020,14,1,China,CN,CHN,1433783692,Asia,0.02092366,9.76437E-09,-11,1,Social Distancing and Wearing Masks Enforced
18/09/2020,18,9,2020,44,0,China,CN,CHN,1433783692,Asia,0.02148162,3.0688E-08,30,-1,Social Distancing and Wearing Masks Enforced
17/09/2020,17,9,2020,7,0,China,CN,CHN,1433783692,Asia,0.02071442,4.88219E-09,-37,0,Social Distancing and Wearing Masks Enforced
