dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,change case,change death,Measures
09/12/2020,9,12,2020,20815,590,Germany,DE,DEU,83019213,Europe,309.8126213,0.000250725,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,14055,423,Germany,DE,DEU,83019213,Europe,307.1843141,0.000169298,-6760,-167,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,12332,147,Germany,DE,DEU,83019213,Europe,306.5808393,0.000148544,-1723,-276,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,17767,255,Germany,DE,DEU,83019213,Europe,304.8125739,0.000214011,5435,108,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,23318,483,Germany,DE,DEU,83019213,Europe,302.372175,0.000280875,5551,228,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,23448,432,Germany,DE,DEU,83019213,Europe,301.9457677,0.000282441,130,-51,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,22046,479,Germany,DE,DEU,83019213,Europe,302.1866758,0.000265553,-1402,47,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,17270,487,Germany,DE,DEU,83019213,Europe,302.864832,0.000208024,-4776,8,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,13604,388,Germany,DE,DEU,83019213,Europe,303.2153533,0.000163866,-3666,-99,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,11169,125,Germany,DE,DEU,83019213,Europe,304.1970538,0.000134535,-2435,-263,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,14611,158,Germany,DE,DEU,83019213,Europe,303.7814873,0.000175995,3442,33,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,21695,379,Germany,DE,DEU,83019213,Europe,306.5952938,0.000261325,7084,221,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,22806,426,Germany,DE,DEU,83019213,Europe,307.5179718,0.000274707,1111,47,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,22268,389,Germany,DE,DEU,83019213,Europe,308.4045135,0.000268227,-538,-37,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,18633,410,Germany,DE,DEU,83019213,Europe,307.9202883,0.000224442,-3635,21,Social Distancing and Wearing Masks Enforced
24/11/2020,24,11,2020,13554,249,Germany,DE,DEU,83019213,Europe,307.7444254,0.000163263,-5079,-161,Social Distancing and Wearing Masks Enforced
23/11/2020,23,11,2020,10864,90,Germany,DE,DEU,83019213,Europe,309.8860983,0.000130861,-2690,-159,Social Distancing and Wearing Masks Enforced
22/11/2020,22,11,2020,15741,138,Germany,DE,DEU,83019213,Europe,312.8962449,0.000189607,4877,48,Social Distancing and Wearing Masks Enforced
21/11/2020,21,11,2020,22964,254,Germany,DE,DEU,83019213,Europe,313.228698,0.000276611,7223,116,Social Distancing and Wearing Masks Enforced
20/11/2020,20,11,2020,23648,260,Germany,DE,DEU,83019213,Europe,313.7526731,0.00028485,684,6,Social Distancing and Wearing Masks Enforced
19/11/2020,19,11,2020,22609,251,Germany,DE,DEU,83019213,Europe,311.1725475,0.000272335,-1039,-9,Social Distancing and Wearing Masks Enforced
18/11/2020,18,11,2020,17561,305,Germany,DE,DEU,83019213,Europe,308.0178561,0.000211529,-5048,54,Social Distancing and Wearing Masks Enforced
17/11/2020,17,11,2020,14419,267,Germany,DE,DEU,83019213,Europe,307.5998805,0.000173683,-3142,-38,Social Distancing and Wearing Masks Enforced
16/11/2020,16,11,2020,10824,62,Germany,DE,DEU,83019213,Europe,308.7237168,0.000130379,-3595,-205,Social Distancing and Wearing Masks Enforced
15/11/2020,15,11,2020,16947,107,Germany,DE,DEU,83019213,Europe,310.2570968,0.000204133,6123,45,Social Distancing and Wearing Masks Enforced
14/11/2020,14,11,2020,22461,178,Germany,DE,DEU,83019213,Europe,306.9205197,0.000270552,5514,71,Social Distancing and Wearing Masks Enforced
13/11/2020,13,11,2020,23542,218,Germany,DE,DEU,83019213,Europe,302.8226731,0.000283573,1081,40,Social Distancing and Wearing Masks Enforced
12/11/2020,12,11,2020,21866,215,Germany,DE,DEU,83019213,Europe,296.967402,0.000263385,-1676,-3,Social Distancing and Wearing Masks Enforced
