dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Change case,Change death,Measures
09/12/2020,9,12,2020,3,0,New_Zealand,NZ,NZL,4783062,Oceania,1.02444836,6.27213E-07,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,6,0,New_Zealand,NZ,NZL,4783062,Oceania,1.1289839,1.25443E-06,3,0,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,1,0,New_Zealand,NZ,NZL,4783062,Oceania,1.02444836,2.09071E-07,-5,0,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,0,0,New_Zealand,NZ,NZL,4783062,Oceania,1.04535546,0,-1,0,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,9,0,New_Zealand,NZ,NZL,4783062,Oceania,1.23351945,1.88164E-06,9,0,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,0,0,New_Zealand,NZ,NZL,4783062,Oceania,1.17079812,0,-9,0,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,9,0,New_Zealand,NZ,NZL,4783062,Oceania,1.23351945,1.88164E-06,9,0,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,1,0,New_Zealand,NZ,NZL,4783062,Oceania,1.08716968,2.09071E-07,-8,0,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,3,0,New_Zealand,NZ,NZL,4783062,Oceania,1.1289839,6.27213E-07,2,0,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,6,0,New_Zealand,NZ,NZL,4783062,Oceania,1.14989101,1.25443E-06,3,0,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,0,0,New_Zealand,NZ,NZL,4783062,Oceania,1.02444836,0,-6,0,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,3,0,New_Zealand,NZ,NZL,4783062,Oceania,1.08716968,6.27213E-07,3,0,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,7,0,New_Zealand,NZ,NZL,4783062,Oceania,1.08716968,1.4635E-06,4,0,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,1,0,New_Zealand,NZ,NZL,4783062,Oceania,1.02444836,2.09071E-07,-6,0,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,8,0,New_Zealand,NZ,NZL,4783062,Oceania,1.06626257,1.67257E-06,7,0,Social Distancing and Wearing Masks Enforced
24/11/2020,24,11,2020,1,0,New_Zealand,NZ,NZL,4783062,Oceania,0.91991281,2.09071E-07,-7,0,Social Distancing and Wearing Masks Enforced
23/11/2020,23,11,2020,2,0,New_Zealand,NZ,NZL,4783062,Oceania,0.91991281,4.18142E-07,1,0,Social Distancing and Wearing Masks Enforced
22/11/2020,22,11,2020,9,0,New_Zealand,NZ,NZL,4783062,Oceania,0.96172703,1.88164E-06,7,0,Social Distancing and Wearing Masks Enforced
21/11/2020,21,11,2020,6,0,New_Zealand,NZ,NZL,4783062,Oceania,0.8990057,1.25443E-06,-3,0,Social Distancing and Wearing Masks Enforced
20/11/2020,20,11,2020,3,0,New_Zealand,NZ,NZL,4783062,Oceania,0.81537726,6.27213E-07,-3,0,Social Distancing and Wearing Masks Enforced
19/11/2020,19,11,2020,2,0,New_Zealand,NZ,NZL,4783062,Oceania,0.77356304,4.18142E-07,-1,0,Social Distancing and Wearing Masks Enforced
18/11/2020,18,11,2020,3,0,New_Zealand,NZ,NZL,4783062,Oceania,0.77356304,6.27213E-07,1,0,Social Distancing and Wearing Masks Enforced
17/11/2020,17,11,2020,4,0,New_Zealand,NZ,NZL,4783062,Oceania,0.77356304,8.36284E-07,1,0,Social Distancing and Wearing Masks Enforced
16/11/2020,16,11,2020,0,0,New_Zealand,NZ,NZL,4783062,Oceania,0.79447015,0,-4,0,Social Distancing and Wearing Masks Enforced
15/11/2020,15,11,2020,3,0,New_Zealand,NZ,NZL,4783062,Oceania,0.87809859,6.27213E-07,3,0,Social Distancing and Wearing Masks Enforced
14/11/2020,14,11,2020,3,0,New_Zealand,NZ,NZL,4783062,Oceania,0.85719148,6.27213E-07,0,0,Social Distancing and Wearing Masks Enforced
13/11/2020,13,11,2020,4,0,New_Zealand,NZ,NZL,4783062,Oceania,0.94081992,8.36284E-07,1,0,Social Distancing and Wearing Masks Enforced
