dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Change in  Case Numbers,Change in Death Numbers,Measures
09/12/2020,9,12,2020,677,4,South_Korea,KR,KOR,51225321,Asia,15.02577212,1.32161E-05,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,594,3,South_Korea,KR,KOR,51225321,Asia,14.44988505,1.15958E-05,-83,-1,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,615,4,South_Korea,KR,KOR,51225321,Asia,13.97160596,1.20058E-05,21,1,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,631,5,South_Korea,KR,KOR,51225321,Asia,13.30006307,1.23181E-05,16,1,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,583,4,South_Korea,KR,KOR,51225321,Asia,12.71246304,1.13811E-05,-48,-1,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,629,7,South_Korea,KR,KOR,51225321,Asia,12.32788761,1.22791E-05,46,3,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,540,3,South_Korea,KR,KOR,51225321,Asia,11.80861317,1.05417E-05,-89,-4,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,511,0,South_Korea,KR,KOR,51225321,Asia,11.42403773,9.97554E-06,-29,-3,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,451,0,South_Korea,KR,KOR,51225321,Asia,11.03751014,8.80424E-06,-60,0,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,377,3,South_Korea,KR,KOR,51225321,Asia,10.60413072,7.35964E-06,-74,3,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,449,1,South_Korea,KR,KOR,51225321,Asia,10.30349815,8.7652E-06,72,-2,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,488,6,South_Korea,KR,KOR,51225321,Asia,9.83302769,9.52654E-06,39,5,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,569,1,South_Korea,KR,KOR,51225321,Asia,9.28056654,1.11078E-05,81,-5,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,583,2,South_Korea,KR,KOR,51225321,Asia,8.54265023,1.13811E-05,14,1,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,382,3,South_Korea,KR,KOR,51225321,Asia,7.68370002,7.45725E-06,-201,1,Social Distancing and Wearing Masks Enforced
24/11/2020,24,11,2020,349,1,South_Korea,KR,KOR,51225321,Asia,7.22299036,6.81304E-06,-33,-2,Social Distancing and Wearing Masks Enforced
23/11/2020,23,11,2020,271,4,South_Korea,KR,KOR,51225321,Asia,6.73690263,5.29035E-06,-78,3,Social Distancing and Wearing Masks Enforced
22/11/2020,22,11,2020,330,2,South_Korea,KR,KOR,51225321,Asia,6.4538395,6.44213E-06,59,-2,Social Distancing and Wearing Masks Enforced
21/11/2020,21,11,2020,386,2,South_Korea,KR,KOR,51225321,Asia,6.08878566,7.53534E-06,56,0,Social Distancing and Wearing Masks Enforced
20/11/2020,20,11,2020,363,3,South_Korea,KR,KOR,51225321,Asia,5.50899427,7.08634E-06,-23,1,Social Distancing and Wearing Masks Enforced
19/11/2020,19,11,2020,343,2,South_Korea,KR,KOR,51225321,Asia,5.08342349,6.69591E-06,-20,-1,Social Distancing and Wearing Masks Enforced
18/11/2020,18,11,2020,313,2,South_Korea,KR,KOR,51225321,Asia,4.65785271,6.11026E-06,-30,0,Social Distancing and Wearing Masks Enforced
17/11/2020,17,11,2020,229,0,South_Korea,KR,KOR,51225321,Asia,4.27718159,4.47045E-06,-84,-2,Social Distancing and Wearing Masks Enforced
16/11/2020,16,11,2020,223,1,South_Korea,KR,KOR,51225321,Asia,3.97654902,4.35332E-06,-6,1,Social Distancing and Wearing Masks Enforced
15/11/2020,15,11,2020,208,1,South_Korea,KR,KOR,51225321,Asia,3.73057692,4.06049E-06,-15,0,Social Distancing and Wearing Masks Enforced
14/11/2020,14,11,2020,205,4,South_Korea,KR,KOR,51225321,Asia,3.56659551,4.00193E-06,-3,3,Social Distancing and Wearing Masks Enforced
13/11/2020,13,11,2020,191,1,South_Korea,KR,KOR,51225321,Asia,3.41237491,3.72862E-06,-14,-3,Social Distancing and Wearing Masks Enforced
12/11/2020,12,11,2020,143,0,South_Korea,KR,KOR,51225321,Asia,3.26205862,2.79159E-06,-48,-1,Social Distancing and Wearing Masks Enforced
11/11/2020,11,11,2020,146,2,South_Korea,KR,KOR,51225321,Asia,3.22691975,2.85015E-06,3,2,Social Distancing and Wearing Masks Enforced
10/11/2020,10,11,2020,100,5,South_Korea,KR,KOR,51225321,Asia,3.14297689,1.95216E-06,-46,3,Social Distancing and Wearing Masks Enforced
09/11/2020,9,11,2020,126,2,South_Korea,KR,KOR,51225321,Asia,3.11955097,2.45972E-06,26,-3,Social Distancing and Wearing Masks Enforced
08/11/2020,8,11,2020,143,1,South_Korea,KR,KOR,51225321,Asia,3.10588586,2.79159E-06,17,-1,Social Distancing and Wearing Masks Enforced
07/11/2020,7,11,2020,89,1,South_Korea,KR,KOR,51225321,Asia,2.94580877,1.73742E-06,-54,0,Social Distancing and Wearing Masks Enforced
06/11/2020,6,11,2020,145,1,South_Korea,KR,KOR,51225321,Asia,2.92238286,2.83063E-06,56,0,Social Distancing and Wearing Masks Enforced
05/11/2020,5,11,2020,125,1,South_Korea,KR,KOR,51225321,Asia,2.94190445,2.4402E-06,-20,0,Social Distancing and Wearing Masks Enforced
04/11/2020,4,11,2020,118,2,South_Korea,KR,KOR,51225321,Asia,2.9301915,2.30355E-06,-7,1,Social Distancing and Wearing Masks Enforced
03/11/2020,3,11,2020,75,4,South_Korea,KR,KOR,51225321,Asia,2.87748319,1.46412E-06,-43,2,Social Distancing and Wearing Masks Enforced
02/11/2020,2,11,2020,97,2,South_Korea,KR,KOR,51225321,Asia,2.84429648,1.89359E-06,22,-2,Social Distancing and Wearing Masks Enforced
01/11/2020,1,11,2020,124,2,South_Korea,KR,KOR,51225321,Asia,2.80330113,2.42068E-06,27,0,Social Distancing and Wearing Masks Enforced
31/10/2020,31,10,2020,126,0,South_Korea,KR,KOR,51225321,Asia,2.73887986,2.45972E-06,2,-2,Social Distancing and Wearing Masks Enforced
30/10/2020,30,10,2020,114,2,South_Korea,KR,KOR,51225321,Asia,2.6354154,2.22546E-06,-12,2,Social Distancing and Wearing Masks Enforced
29/10/2020,29,10,2020,125,1,South_Korea,KR,KOR,51225321,Asia,2.50462071,2.4402E-06,11,-1,Social Distancing and Wearing Masks Enforced
28/10/2020,28,10,2020,103,1,South_Korea,KR,KOR,51225321,Asia,2.45386456,2.01072E-06,-22,0,Social Distancing and Wearing Masks Enforced
