dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,sweden Cases Change,Death Change,As Of Population,Measures,Uk Populaton,Projected Population 
2019-12-31,31,12,2019,0,0,Sweden,SE,SWE,10230185,Europe,,,,0,Social Distancing and Wearing Masks Enforced,4854,4854
2020-01-01,1,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,4858,4858
2020-01-02,2,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,5131,5131
2020-01-03,3,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,4956,4956
2020-01-04,4,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,5282,5282
2020-01-05,5,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,4178,4178
2020-01-06,6,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,5065,5065
2020-01-07,7,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,5450,5450
2020-01-08,8,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,5158,5158
2020-01-09,9,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,4706,4706
2020-01-10,10,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,5292,5292
2020-01-11,11,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,4326,4326
2020-01-12,12,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,,0,0,0,Social Distancing and Wearing Masks Enforced,4760,4760
2020-01-13,13,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4313,4313
2020-01-14,14,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4970,4970
2020-01-15,15,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4729,4729
2020-01-16,16,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4911,4911
2020-01-17,17,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4868,4868
2020-01-18,18,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,3389,3389
2020-01-19,19,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,3489,3489
2020-01-20,20,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4966,4966
2020-01-21,21,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,18213,18213
2020-01-22,22,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,5487,5487
2020-01-23,23,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4514,4514
2020-01-24,24,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,3579,3579
2020-01-25,25,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4913,4913
2020-01-26,26,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,16170,16170
2020-01-27,27,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,3682,3682
2020-01-28,28,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,5442,5442
2020-01-29,29,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,3586,3586
2020-01-30,30,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,11299,11299
2020-01-31,31,1,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,13429,13429
2020-02-01,1,2,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,12281,12281
2020-02-02,2,2,2020,0,0,Sweden,SE,SWE,10230185,Europe,0,0,0,0,Social Distancing and Wearing Masks Enforced,4020,4020
