dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Change Cases,Change Death,Measures
09/12/2020,9,12,2020,217344,2564,United_States_of_America,US,USA,329064917,America,784.1951137,0.00066049,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced
08/12/2020,8,12,2020,197334,1433,United_States_of_America,US,USA,329064917,America,769.8967192,0.000599681,-20010,-1131,Social Distancing and Wearing Masks Enforced
07/12/2020,7,12,2020,173432,1111,United_States_of_America,US,USA,329064917,America,762.7944732,0.000527045,-23902,-322,Social Distancing and Wearing Masks Enforced
06/12/2020,6,12,2020,211933,2203,United_States_of_America,US,USA,329064917,America,757.9440625,0.000644046,38501,1092,Social Distancing and Wearing Masks Enforced
05/12/2020,5,12,2020,231930,2680,United_States_of_America,US,USA,329064917,America,746.8705635,0.000704815,19997,477,Social Distancing and Wearing Masks Enforced
04/12/2020,4,12,2020,214747,2481,United_States_of_America,US,USA,329064917,America,735.9873007,0.000652598,-17183,-199,Social Distancing and Wearing Masks Enforced
03/12/2020,3,12,2020,203311,3190,United_States_of_America,US,USA,329064917,America,727.8651951,0.000617845,-11436,709,Social Distancing and Wearing Masks Enforced
02/12/2020,2,12,2020,180421,2600,United_States_of_America,US,USA,329064917,America,717.7437879,0.000548284,-22890,-590,Social Distancing and Wearing Masks Enforced
01/12/2020,1,12,2020,157903,1172,United_States_of_America,US,USA,329064917,America,709.8107028,0.000479854,-22518,-1428,Social Distancing and Wearing Masks Enforced
30/11/2020,30,11,2020,136670,810,United_States_of_America,US,USA,329064917,America,713.0082482,0.000415328,-21233,-362,Social Distancing and Wearing Masks Enforced
29/11/2020,29,11,2020,154893,1204,United_States_of_America,US,USA,329064917,America,711.6407368,0.000470707,18223,394,Social Distancing and Wearing Masks Enforced
28/11/2020,28,11,2020,207913,1404,United_States_of_America,US,USA,329064917,America,714.7963452,0.00063183,53020,200,Social Distancing and Wearing Masks Enforced
27/11/2020,27,11,2020,106091,1189,United_States_of_America,US,USA,329064917,America,707.7764537,0.000322401,-101822,-215,Social Distancing and Wearing Masks Enforced
26/11/2020,26,11,2020,186589,2341,United_States_of_America,US,USA,329064917,America,722.234999,0.000567028,80498,1152,Social Distancing and Wearing Masks Enforced
25/11/2020,25,11,2020,170293,2224,United_States_of_America,US,USA,329064917,America,709.0816673,0.000517506,-16296,-117,Social Distancing and Wearing Masks Enforced
