dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Change in Cases,Change in Deaths,Measures,sweden Cases Change,Projected Population ,sweden cases
2020-12-09,9,12,2020,12281,599,United_Kingdom,UK,GBR,66647112,Europe,317.2635598,0.000184269,#VALUE!,#VALUE!,Social Distancing and Wearing Masks Enforced,0,12281,0
2020-12-08,8,12,2020,14718,189,United_Kingdom,UK,GBR,66647112,Europe,315.7901276,0.000220835,2437,-410,Social Distancing and Wearing Masks Enforced,69,14787,0
2020-12-07,7,12,2020,17271,231,United_Kingdom,UK,GBR,66647112,Europe,316.8884497,0.000259141,2553,42,Social Distancing and Wearing Masks Enforced,59,17330,0
2020-12-06,6,12,2020,15539,397,United_Kingdom,UK,GBR,66647112,Europe,318.9755619,0.000233153,-1732,166,Social Distancing and Wearing Masks Enforced,-5,15534,0
2020-12-05,5,12,2020,16298,504,United_Kingdom,UK,GBR,66647112,Europe,325.4814702,0.000244542,759,107,Social Distancing and Wearing Masks Enforced,0,16298,0
2020-12-04,4,12,2020,14878,414,United_Kingdom,UK,GBR,66647112,Europe,331.4142104,0.000223235,-1420,-90,Social Distancing and Wearing Masks Enforced,0,14878,0
2020-12-03,3,12,2020,16170,648,United_Kingdom,UK,GBR,66647112,Europe,343.4732476,0.000242621,1292,234,Social Distancing and Wearing Masks Enforced,0,16170,0
2020-12-02,2,12,2020,13429,603,United_Kingdom,UK,GBR,66647112,Europe,348.6332611,0.000201494,-2741,-45,Lockdown,0,13429,0
2020-12-01,1,12,2020,12330,203,United_Kingdom,UK,GBR,66647112,Europe,358.5691755,0.000185004,-1099,-400,Lockdown,349,12679,0
2020-11-30,30,11,2020,12155,215,United_Kingdom,UK,GBR,66647112,Europe,372.122651,0.000182378,-175,12,Lockdown,-244,11911,0
2020-11-29,29,11,2020,15871,479,United_Kingdom,UK,GBR,66647112,Europe,391.3387875,0.000238135,3716,264,Lockdown,0,15871,0
2020-11-28,28,11,2020,14739,520,United_Kingdom,UK,GBR,66647112,Europe,407.8271239,0.00022115,-1132,41,Lockdown,0,14739,0
2020-11-27,27,11,2020,17555,498,United_Kingdom,UK,GBR,66647112,Europe,426.6756525,0.000263402,2816,-22,Lockdown,0,17555,0
2020-11-26,26,11,2020,18213,695,United_Kingdom,UK,GBR,66647112,Europe,450.5551568,0.000273275,658,197,Lockdown,0,18213,0
2020-11-25,25,11,2020,11299,608,United_Kingdom,UK,GBR,66647112,Europe,457.6627416,0.000169535,-6914,-87,Lockdown,0,11299,0
2020-11-24,24,11,2020,15450,479,United_Kingdom,UK,GBR,66647112,Europe,471.3362524,0.000231818,4151,-129,Lockdown,0,15450,0
2020-11-23,23,11,2020,18662,125,United_Kingdom,UK,GBR,66647112,Europe,480.188849,0.000280012,3212,-354,Lockdown,180,18842,0
