countriesAndTerritories,As of Population,continentExp,,,,,,,,,,,,,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Row Labels,Average of As of Population,,,,,,,,,,,,,,
Afghanistan,5.25738E-06,Asia,,,,Afghanistan,3.75479E-06,,countriesAndTerritories,As of Population,Ranking,,Row Labels,Average of As of Population,,,,,,,
Afghanistan,5.52025E-06,Asia,,,,Albania,5.6246E-05,,Laos,2.1995E-08,1,,Afghanistan,3.75479E-06,,,,,,,
Afghanistan,6.15114E-06,Asia,,,,Algeria,6.10847E-06,,United_Republic_of_Tanzania,3.27427E-08,2,,Asia,3.75479E-06,,,,,,,
Afghanistan,6.17742E-06,Asia,,,,Andorra,0.000345234,,Vietnam,4.18623E-08,3,,Albania,5.6246E-05,,Selected countries,,,,,
Afghanistan,3.12814E-06,Asia,,,,Angola,1.8792E-06,,Cambodia,6.39049E-08,4,,Europe,5.6246E-05,,countriesAndTerritories,As of Population,Ranking,Population density per Km2,GDP billion USD,Population millions
Afghanistan,5.30995E-06,Asia,,,,Anguilla,2.60622E-06,,Taiwan,8.77836E-08,5,,Algeria,6.10847E-06,,Laos,2.1995E-08,1,32,17.95,7.062
Afghanistan,1.05148E-05,Asia,,,,Antigua_and_Barbuda,5.6731E-06,,Timor_Leste,9.11522E-08,6,,Africa,6.10847E-06,,China,1.85877E-07,9,148,13610,1393
Afghanistan,7.15004E-06,Asia,,,,Argentina,0.000118075,,Vanuatu,1.14988E-07,7,,Andorra,0.000345234,,New_Zealand,1.07771E-06,25,15,204.9,4.886
Afghanistan,0,Asia,,,,Armenia,0.000144965,,Thailand,1.75325E-07,8,,Europe,0.000345234,,Finland,1.50095E-05,95,18.2,276.7,5.518
Afghanistan,5.99341E-06,Asia,,,,Aruba,0.000178938,,China,1.85877E-07,9,,Angola,1.8792E-06,,Germany,4.25438E-05,133,240,3948,83.02
Afghanistan,5.6254E-06,Asia,,,,Australia,3.21871E-06,,Fiji,1.86569E-07,10,,Africa,1.8792E-06,,United_Kingdom,7.61198E-05,156,275,2855,66.62
Afghanistan,0,Asia,,,,Austria,0.00010002,,Burundi,2.45438E-07,11,,Anguilla,2.60622E-06,,Sweden,8.43574E-05,164,25.4,556.1,10.23
Afghanistan,5.25738E-06,Asia,,,,Azerbaijan,4.53905E-05,,Papua_New_Guinea,2.95223E-07,12,,America,2.60622E-06,,United_States_of_America,0.000133639,197,36,20540,328
